length_days,tank,species,correct_id,unique_id,f.weight,i.weight,CSA_cm2,data_quality,wound_raw,growth.g,growth.percm2,treatment
38,Fish B,Porites,5,5P,24.13281902,22.36477621,20.67996606075388,NA,wounded,1.7680428100000007,0.0854954406020697,fish
38,Fish B,Acropora,5,5A,8.7822797,7.52604652,19.442553416282458,NA,not wounded,1.2562331799999997,0.06461256158606968,fish
38,Fish B,Porites,39,39P,48.24103781,44.33045552,37.14187707115731,NA,wounded,3.9105822900000007,0.10528768598603706,fish
38,Fish B,Acropora,39,39A,7.89513415,7.38789759,11.672250434841489,NA,wounded,0.50723656,0.043456620711795776,fish
38,Fish B,Porites,17+,17+P,31.90956459,30.72125127,28.101740153249917,NA,not wounded,1.188313319999999,0.04228611159023092,fish
38,Fish B,Porites,40,40P,23.70385262,22.32793649,20.86368671539162,NA,wounded,1.3759161300000002,0.06594789064700418,fish
38,Fish A,Acropora,40,40A,11.87729529,10.25832528,28.798797931139973,NA,wounded,1.61897001,0.05621658285429397,fish
38,Fish B,Porites,9-,9-P,40.14602684,36.29479296,34.423892092252714,NA,not wounded,3.8512338799999952,0.11187677063590193,fish
38,Fish B,Porites,38,38P,27.7013889,27.17542883,25.997057947915348,NA,wounded,0.52596007,0.02023152277668311,fish
38,Fish B,Acropora,38,38A,10.41665704,8.74329206,30.52252995553475,NA,not wounded,1.6733649800000006,0.054823927847323276,fish
38,Fish B,Porites,8C,8CP,25.39050543,23.45461774,20.68536960941978,NA,not wounded,1.9358876900000013,0.093587290271015,fish
38,Fish B,Porites,20-,20-P,50.52270851,46.86011586,47.80307858880887,NA,not wounded,3.6625926500000006,0.07661834254452068,fish
38,Fish B,Porites,18+,18+P,31.61743694,29.86933289,30.754882548164705,NA,not wounded,1.748104050000002,0.05683988704110073,fish
38,Fish B,Acropora,19,19A,9.59562458,8.36261502,21.67151724093085,NA,not wounded,1.233009560000001,0.05689539621486327,fish
38,Fish B,Acropora,33,33A,9.23123378,8.00189282,19.466869385278613,NA,wounded,1.22934096,0.0631504190873989,fish
38,Fish A,Porites,27,27P,30.3674381,29.36892678,20.41789395046202,NA,wounded,0.9985113200000022,0.04890373720338614,fish
38,Fish B,Acropora,27,27A,10.52735804,9.54455583,16.88127134868649,NA,wounded,0.9828022099999991,0.05821849490479695,fish
38,Fish A,Porites,3,3P,27.60760055,25.99195302,21.13386414868228,NA,not wounded,1.6156475300000004,0.07644827839497292,fish
38,Fish B,Acropora,3,3A,8.10884859,7.47385692,13.57159779087521,NA,wounded,0.6349916699999989,0.04678827650101244,fish
38,Fish A,Porites,2,2P,24.11590636,22.65642394,19.972101185532225,NA,not wounded,1.4594824200000005,0.07307605776888655,fish
38,Fish A,Acropora,2,2A,9.90005235,8.57597836,24.66238142745911,NA,not wounded,1.3240739899999987,0.053688002267525306,fish
38,Fish A,Porites,19-,19-P,27.97967893,25.4669871,29.838981049309204,NA,not wounded,2.512691829999998,0.0842083657564496,fish
38,Fish A,Porites,34,34P,31.84037646,29.59150005,30.717057707504093,low_for_weight,not wounded,2.248876410000001,0.0732126244451664,fish
38,Fish A,Porites,13C,13CP,26.97260729,25.04486538,30.65761867218008,NA,wounded,1.9277419099999982,0.06287970147366033,fish
38,Fish A,Porites,28,28P,22.48460406,21.13832074,17.664785905229515,NA,wounded,1.3462833199999977,0.07621282970666753,fish
38,Fish A,Acropora,12,12A,11.53442968,9.58293053,36.48534590826082,NA,not wounded,1.95149915,0.0534872042848894,fish
38,Fish A,Acropora,10,10A,10.00152827,9.10708423,20.22066442415973,NA,wounded,0.8944440399999998,0.04423415676347977,fish
38,Fish A,Acropora,16,16A,9.54796165,8.31810036,18.788724027718914,NA,wounded,1.2298612899999988,0.06545741414827268,fish
38,Fish A,Acropora,20,20A,7.63221927,6.96270589,7.438570055175955,NA,wounded,0.6695133800000006,0.09000565633365722,fish
38,Fish A,Acropora,15,15A,9.01751934,7.98193797,17.88362962619506,NA,not wounded,1.03558137,0.05790666613242378,fish
38,Fish A,Acropora,14,14A,7.52766832,6.69101301,10.288941976393033,NA,not wounded,0.8366553100000003,0.08131597125531699,fish
