date,coral_id,bouyantweight_g,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,density_aragonite,wound,fish
initial,85,10.974,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,85,11.1919,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,No Fish
initial,86,15.4944,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,86,15.8462,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,No Wound,No Fish
initial,87,13.2744,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,87,13.535,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,No Fish
initial,88,15.5035,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,88,15.8156,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,No Fish
initial,89,11.4787,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,89,11.7588,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,No Fish
initial,91,9.2984,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,91,9.3955,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,No Fish
initial,95,19.1361,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,95,19.2863,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
initial,96,10.8033,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,96,11.0494,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
initial,98,16.4331,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,98,16.6728,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,No Wound,No Fish
initial,99,10.7645,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,99,10.9619,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Large,Fish
initial,100,9.5293,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
